date,ticker,weight,risk_tolerance
2026-03-06,INDUSINDBK.NS,0.19999974672285536,0.0
2026-03-06,INFY.NS,0.20000055856274326,0.0
2026-03-06,ADANIENT.NS,0.19999938543443574,0.0
2026-03-06,CIPLA.NS,0.20000033002119189,0.0
2026-03-06,MARUTI.NS,0.19999997925877375,0.0
2026-03-06,INDUSINDBK.NS,0.19999971662832444,0.1
2026-03-06,INFY.NS,0.1999998020860028,0.1
2026-03-06,ADANIENT.NS,0.19999972071696553,0.1
2026-03-06,CIPLA.NS,0.20000016480779803,0.1
2026-03-06,MARUTI.NS,0.20000059576090923,0.1
2026-03-06,INDUSINDBK.NS,0.19999999999999996,0.2
2026-03-06,INFY.NS,0.19999999999999996,0.2
2026-03-06,ITC.NS,0.10202562809784876,0.2
2026-03-06,ADANIENT.NS,0.19999999999999996,0.2
2026-03-06,CIPLA.NS,0.19999999999999996,0.2
2026-03-06,MARUTI.NS,0.09797437190215129,0.2
2026-03-06,INDUSINDBK.NS,0.18963463368910635,0.3
2026-03-06,INFY.NS,0.1700422448806086,0.3
2026-03-06,ITC.NS,0.17597759584707864,0.3
2026-03-06,ADANIENT.NS,0.2,0.3
2026-03-06,CIPLA.NS,0.15962987308667406,0.3
2026-03-06,MARUTI.NS,0.10471565249653238,0.3
2026-03-06,INDUSINDBK.NS,0.15764331127756348,0.4
2026-03-06,INFY.NS,0.17009873728213426,0.4
2026-03-06,ITC.NS,0.20000000000000004,0.4
2026-03-06,ADANIENT.NS,0.148309340373988,0.4
2026-03-06,CIPLA.NS,0.17916743395382603,0.4
2026-03-06,MARUTI.NS,0.14478117711248828,0.4
2026-03-06,INDUSINDBK.NS,0.1378803443690438,0.5
2026-03-06,INFY.NS,0.16447504908300262,0.5
2026-03-06,ITC.NS,0.20000000000000004,0.5
2026-03-06,HINDUNILVR.NS,0.04215079382415231,0.5
2026-03-06,ADANIENT.NS,0.1154577209359325,0.5
2026-03-06,CIPLA.NS,0.18228887643036717,0.5
2026-03-06,MARUTI.NS,0.15774721535750164,0.5
2026-03-06,INDUSINDBK.NS,0.12463068011519038,0.6
2026-03-06,INFY.NS,0.1598553764699547,0.6
2026-03-06,ITC.NS,0.20000000000000007,0.6
2026-03-06,HINDUNILVR.NS,0.07442963894966698,0.6
2026-03-06,ADANIENT.NS,0.09355945931037031,0.6
2026-03-06,CIPLA.NS,0.18278475136320216,0.6
2026-03-06,MARUTI.NS,0.1647400937916155,0.6
2026-03-06,INDUSINDBK.NS,0.1147307176419987,0.7
2026-03-06,INFY.NS,0.15387813434680622,0.7
2026-03-06,ITC.NS,0.2,0.7
2026-03-06,HINDUNILVR.NS,0.08556402245929934,0.7
2026-03-06,NESTLEIND.NS,0.015536959794698938,0.7
2026-03-06,ASIANPAINT.NS,0.006767001349144942,0.7
2026-03-06,ADANIENT.NS,0.07553944123693909,0.7
2026-03-06,TATACONSUM.NS,0.0037551551952182956,0.7
2026-03-06,CIPLA.NS,0.1803337718464249,0.7
2026-03-06,MARUTI.NS,0.16389479612946956,0.7
2026-03-06,INDUSINDBK.NS,0.10711724359358807,0.8
2026-03-06,INFY.NS,0.1483671299006189,0.8
2026-03-06,ITC.NS,0.20000000000000007,0.8
2026-03-06,HINDUNILVR.NS,0.0907715816727349,0.8
2026-03-06,NESTLEIND.NS,0.02404210845652681,0.8
2026-03-06,ASIANPAINT.NS,0.01843338099131159,0.8
2026-03-06,ADANIENT.NS,0.061132931726897835,0.8
2026-03-06,TATACONSUM.NS,0.012826791961835773,0.8
2026-03-06,CIPLA.NS,0.17688292233049133,0.8
2026-03-06,MARUTI.NS,0.16042590936599466,0.8
2026-03-06,SBILIFE.NS,0.0022368071176870033,0.9
2026-03-06,INDUSINDBK.NS,0.10104977471796417,0.9
2026-03-06,INFY.NS,0.14388312013814225,0.9
2026-03-06,ITC.NS,0.2,0.9
2026-03-06,HINDUNILVR.NS,0.09458768023447947,0.9
2026-03-06,NESTLEIND.NS,0.030446274079303417,0.9
2026-03-06,ASIANPAINT.NS,0.02733652683149789,0.9
2026-03-06,ADANIENT.NS,0.04977667794677051,0.9
2026-03-06,TATACONSUM.NS,0.019668632322702034,0.9
2026-03-06,CIPLA.NS,0.17356118319955033,0.9
2026-03-06,MARUTI.NS,0.15745332341190282,0.9
2026-03-06,SBILIFE.NS,0.014169854543074033,1.0
2026-03-06,INDUSINDBK.NS,0.0954028515728557,1.0
2026-03-06,INFY.NS,0.13814827631982826,1.0
2026-03-06,BRITANNIA.NS,0.0019478490422303709,1.0
2026-03-06,ITC.NS,0.19999999999999996,1.0
2026-03-06,HINDUNILVR.NS,0.0962065299380491,1.0
2026-03-06,NESTLEIND.NS,0.03220830777092575,1.0
2026-03-06,ASIANPAINT.NS,0.03231367803070468,1.0
2026-03-06,ADANIENT.NS,0.03952392282740073,1.0
2026-03-06,BHARTIARTL.NS,0.008324845756161424,1.0
2026-03-06,TATACONSUM.NS,0.022546325701427585,1.0
2026-03-06,CIPLA.NS,0.16691336470377646,1.0
2026-03-06,MARUTI.NS,0.1522941937935659,1.0
